Restaurant_Item_Name,Food_Category,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
McDonald's Dr Pepper Large,Beverages,290.0,0.0,0.0,0.0,0.0,95.0,79.0,0.0,78.0,0.0
McDonald's Dr Pepper Medium,Beverages,210.0,0.0,0.0,0.0,0.0,70.0,58.0,0.0,57.0,0.0
McDonald's Tangy Barbeque Sauce,Toppings & Ingredients,45.0,0.0,0.0,0.0,0.0,260.0,11.0,0.0,9.0,0.0
McDonald's Sweet N Sour Sauce,Toppings & Ingredients,50.0,0.0,0.0,0.0,0.0,160.0,11.0,1.0,9.0,0.0
McDonald's Hamburger,Burgers,250.0,8.0,3.0,0.0,30.0,480.0,31.0,13.0,6.0,2.0
McDonald's Cheeseburger,Burgers,300.0,12.0,5.0,0.5,40.0,680.0,33.0,15.0,7.0,2.0
McDonald's Double Cheeseburger,Burgers,430.0,21.0,11.0,1.0,85.0,1040.0,35.0,25.0,7.0,2.0
McDonald's Quarter Pounder w/ Cheese,Burgers,530.0,27.0,13.0,1.5,100.0,1090.0,41.0,31.0,10.0,3.0
McDonald's Big Mac,Burgers,540.0,28.0,10.0,1.0,80.0,950.0,46.0,25.0,9.0,3.0
McDonald's Double Quarter Pounder w/ Cheese,Burgers,770.0,45.0,21.0,2.5,175.0,1290.0,42.0,51.0,10.0,3.0
McDonald's McChicken,Sandwiches,350.0,15.0,3.5,0.0,40.0,600.0,40.0,15.0,5.0,2.0
McDonald's Filet O Fish,Sandwiches,390.0,19.0,4.0,0.0,45.0,560.0,38.0,17.0,5.0,2.0
McDonald's Sausage Biscuit w/ Egg Large,Sandwiches,530.0,34.0,14.0,0.0,210.0,1160.0,38.0,17.0,3.0,2.0
McDonald's Egg McMuffin,Sandwiches,290.0,12.0,6.0,0.0,245.0,710.0,29.0,17.0,3.0,2.0
McDonald's Sausage McMuffin,Sandwiches,400.0,25.0,10.0,0.0,55.0,720.0,28.0,14.0,3.0,2.0
McDonald's Sausage McMuffin w/ Egg,Sandwiches,470.0,30.0,12.0,0.0,275.0,790.0,29.0,21.0,3.0,2.0
McDonald's Bacon Egg & Cheese Regular,Sandwiches,450.0,24.0,12.0,0.0,200.0,1290.0,40.0,18.0,3.0,3.0
McDonald's Bacon Egg & Cheese on Scratch Biscuit Large,Sandwiches,480.0,25.0,12.0,0.0,235.0,1310.0,43.0,19.0,4.0,3.0
McDonald's Sausage Biscuit w/ Egg Regular,Sandwiches,530.0,34.0,15.0,0.0,205.0,1140.0,38.0,17.0,3.0,2.0
McDonald's Sausage Biscuit Regular,Sandwiches,460.0,30.0,13.0,0.0,40.0,1050.0,36.0,11.0,3.0,2.0
McDonald's Sausage Biscuit on Scratch Biscuit Large,Sandwiches,490.0,32.0,13.0,0.0,75.0,1070.0,39.0,12.0,3.0,2.0
McDonald's Sausage Burrito,Sandwiches,290.0,15.0,6.0,0.0,165.0,800.0,26.0,13.0,2.0,1.0
McDonald's 4 Chicken McNuggets,Entrees,180.0,11.0,2.0,0.0,30.0,340.0,11.0,10.0,0.0,1.0
McDonald's 6 Chicken McNuggets,Entrees,270.0,16.0,2.5,0.0,45.0,510.0,16.0,15.0,0.0,1.0
McDonald's 10 Chicken McNuggets,Entrees,440.0,27.0,4.5,0.0,75.0,840.0,26.0,24.0,0.0,2.0
McDonald's French Fries Small,Fried Potatoes,230.0,11.0,1.5,0.0,0.0,160.0,29.0,3.0,0.0,3.0
McDonald's French Fries Medium,Fried Potatoes,340.0,16.0,2.0,0.0,0.0,230.0,44.0,4.0,0.0,4.0
McDonald's French Fries Large,Fried Potatoes,510.0,24.0,3.5,0.0,0.0,350.0,66.0,7.0,0.0,6.0
McDonald's Bacon Ranch Salad w/ Grilled Chicken,Salads,320.0,14.0,6.0,0.0,135.0,1090.0,9.0,42.0,4.0,3.0
McDonald's Bacon Ranch Salad w/ Buttermilk Crispy Chicken,Salads,490.0,28.0,8.0,0.0,95.0,1120.0,28.0,33.0,4.0,4.0
McDonald's Southwest Salad w/ Grilled Chicken,Salads,350.0,12.0,4.5,0.0,110.0,930.0,27.0,37.0,9.0,6.0
McDonald's Southwest Salad w/ Buttermilk Crispy Chicken,Salads,520.0,25.0,6.0,0.0,75.0,960.0,46.0,28.0,9.0,8.0
McDonald's Newman's Own Creamy Southwest Dressing,Toppings & Ingredients,120.0,8.0,1.5,0.0,20.0,300.0,11.0,1.0,3.0,0.0
McDonald's Newman's Own Low Fat Balsamic Vinaigrette,Toppings & Ingredients,35.0,1.5,0.0,0.0,0.0,400.0,5.0,0.0,3.0,0.0
McDonald's Newman's Own Low Fat Family Recipe Italian Dressing,Toppings & Ingredients,50.0,1.5,0.0,0.0,0.0,380.0,11.0,0.0,2.0,0.0
McDonald's Newman's Own Ranch Dressing,Toppings & Ingredients,200.0,17.0,2.5,0.0,20.0,530.0,11.0,1.0,4.0,1.0
McDonald's Creamy Ranch Sauce,Toppings & Ingredients,110.0,12.0,2.0,0.0,5.0,150.0,1.0,0.0,1.0,0.0
McDonald's Honey,Toppings & Ingredients,50.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0
McDonald's Hotcake Syrup,Toppings & Ingredients,190.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,33.0,0.0
McDonald's Chocolate Chip Cookie,Desserts,170.0,7.0,3.5,0.0,10.0,90.0,23.0,2.0,15.0,1.0
McDonald's Oatmeal Raisin Cookie,Desserts,140.0,5.0,2.5,0.0,10.0,125.0,22.0,2.0,12.0,1.0
McDonald's Baked Hot Apple Pie,Desserts,230.0,10.0,5.0,0.0,0.0,160.0,32.0,2.0,13.0,4.0
McDonald's Hotcakes & Sausage,Entrees,520.0,26.0,8.0,0.0,55.0,820.0,57.0,15.0,13.0,2.0
McDonald's Sausage Egg & Cheese McGriddles,Sandwiches,550.0,32.0,13.0,0.0,215.0,1280.0,45.0,20.0,15.0,2.0
McDonald's Big Breakfast,Entrees,750.0,49.0,18.0,0.0,465.0,1490.0,53.0,25.0,3.0,3.0
McDonald's Dr Pepper Extra Small,Beverages,120.0,0.0,0.0,0.0,0.0,40.0,32.0,0.0,32.0,0.0
McDonald's Bacon Egg & Cheese McGriddles,Sandwiches,420.0,18.0,8.0,0.0,195.0,1230.0,45.0,18.0,15.0,2.0
McDonald's Sausage McGriddles,Sandwiches,430.0,24.0,9.0,0.0,35.0,990.0,42.0,11.0,15.0,1.0
McDonald's Hotcakes,Entrees,330.0,8.0,1.5,0.0,15.0,530.0,56.0,9.0,12.0,2.0
McDonald's Side Salad,Salads,15.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,1.0
McDonald's Hash Brown,Fried Potatoes,150.0,9.0,1.5,0.0,0.0,320.0,16.0,1.0,0.0,1.0
McDonald's Bacon Egg & Cheese Bagel,Sandwiches,550.0,25.0,11.0,0.5,225.0,1260.0,54.0,26.0,7.0,4.0
McDonald's McDouble,Burgers,380.0,18.0,8.0,1.0,70.0,840.0,34.0,23.0,7.0,2.0
McDonald's Big Breakfast w/ Hotcakes,Entrees,1080.0,57.0,20.0,0.0,480.0,2020.0,109.0,34.0,15.0,6.0
McDonald's Fruit & Maple Oatmeal w/ Brown Sugar Apples Cranberry Raisin Blend & Light Cream,Entrees,310.0,4.0,1.5,0.0,62.0,140.0,62.0,6.0,33.0,5.0
McDonald's Fruit & Maple Oatmeal w/ Apples Cranberry Raisin Blend & Light Cream,Entrees,260.0,4.0,1.5,0.0,5.0,115.0,49.0,6.0,18.0,5.0
McDonald's Fruit 'n Yogurt Parfait,Entrees,150.0,2.0,1.0,0.0,5.0,80.0,30.0,4.0,23.0,1.0
McDonald's French Fries Kids,Fried Potatoes,110.0,5.0,1.0,0.0,0.0,80.0,15.0,1.0,0.0,1.0
McDonald's Kiddie Cone,Desserts,45.0,1.0,0.5,0.0,5.0,20.0,5.0,1.0,6.0,0.0
McDonald's Chopped Peanuts,Toppings & Ingredients,45.0,3.5,0.5,0.0,0.0,0.0,2.0,2.0,0.0,1.0
McDonald's Sugar Packet,Toppings & Ingredients,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
McDonald's Hot Caramel Sundae,Desserts,340.0,8.0,5.0,0.0,30.0,160.0,49.0,7.0,42.0,0.0
McDonald's Hot Fudge Sundae,Desserts,330.0,8.0,8.0,0.0,25.0,180.0,42.0,8.0,47.0,1.0
McDonald's McFlurry w/ M&Ms Candies,Desserts,630.0,22.0,14.0,0.5,50.0,200.0,77.0,13.0,86.0,2.0
McDonald's McFlurry w/ Oreo Cookies,Desserts,510.0,17.0,9.0,0.5,45.0,280.0,60.0,12.0,64.0,1.0
McDonald's McFlurry w/ M&Ms Candies Snack Size,Desserts,420.0,15.0,9.0,0.0,35.0,130.0,51.0,9.0,58.0,1.0
McDonald's Strawberry Sundae,Desserts,280.0,6.0,4.0,0.0,25.0,95.0,38.0,6.0,44.0,0.0
McDonald's Vanilla Cone,Desserts,200.0,5.0,3.5,0.0,20.0,80.0,23.0,5.0,24.0,0.0
McDonald's Coffee Cream,Toppings & Ingredients,20.0,1.5,1.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0
McDonald's 1% Low Fat Milk Jug,Beverages,100.0,2.5,1.5,0.0,10.0,125.0,12.0,8.0,12.0,0.0
McDonald's Minute Maid Apple Juice Box,Beverages,80.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,19.0,0.0
McDonald's Coca Cola Small,Beverages,170.0,0.0,0.0,0.0,0.0,15.0,47.0,0.0,47.0,0.0
McDonald's Dr Pepper Small,Beverages,170.0,0.0,0.0,0.0,0.0,55.0,46.0,0.0,45.0,0.0
McDonald's Sprite Small,Beverages,170.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,45.0,0.0
McDonald's Hi C Orange Lavaburst Small,Beverages,170.0,0.0,0.0,0.0,0.0,25.0,47.0,0.0,47.0,0.0
McDonald's POWERade Mountain Berry Blast Small,Beverages,100.0,0.0,0.0,0.0,0.0,110.0,26.0,0.0,26.0,0.0
McDonald's Sweet Tea Medium,Beverages,110.0,0.0,0.0,0.0,0.0,20.0,28.0,0.0,28.0,0.0
McDonald's McCafe Iced Coffee Hazelnut w/ Light Cream Small,Beverages,110.0,4.0,2.5,0.0,15.0,25.0,17.0,1.0,17.0,0.0
McDonald's Coca Cola Extra Small,Beverages,120.0,0.0,0.0,0.0,0.0,10.0,33.0,0.0,33.0,0.0
McDonald's Coca Cola Large,Beverages,300.0,0.0,0.0,0.0,0.0,30.0,81.0,0.0,81.0,0.0
McDonald's Coca Cola Medium,Beverages,220.0,0.0,0.0,0.0,0.0,20.0,59.0,0.0,59.0,0.0
McDonald's Hi C Orange Lavaburst Extra Small,Beverages,120.0,0.0,0.0,0.0,0.0,15.0,33.0,0.0,33.0,0.0
McDonald's Hi C Orange Lavaburst Large,Beverages,300.0,0.0,0.0,0.0,0.0,40.0,81.0,0.0,81.0,0.0
McDonald's Hi C Orange Lavaburst Medium,Beverages,220.0,0.0,0.0,0.0,0.0,30.0,60.0,0.0,60.0,0.0
McDonald's McCafe Iced Coffee Sugar Free Vanilla w/ Light Cream Large,Beverages,130.0,7.0,4.5,0.0,30.0,95.0,14.0,1.0,2.0,0.0
McDonald's McCafe Iced Coffee Sugar Free French Vanilla w/ Light Cream Medium,Beverages,90.0,5.0,3.5,0.0,20.0,65.0,10.0,1.0,1.0,0.0
McDonald's McCafe Iced Coffee Sugar Free French Vanilla w/ Light Cream Small,Beverages,70.0,4.0,2.5,0.0,15.0,50.0,7.0,1.0,1.0,0.0
McDonald's McCafe Iced Coffee Caramel w/ Light Cream Large,Beverages,230.0,7.0,4.5,0.0,30.0,45.0,41.0,1.0,40.0,0.0
McDonald's McCafe Iced Coffee Caramel w/ Light Cream Medium,Beverages,160.0,5.0,3.5,0.0,20.0,35.0,28.0,1.0,28.0,0.0
McDonald's McCafe Iced Coffee Hazelnut w/ Light Cream & Hazelnut Syrup McCafe Large,Beverages,230.0,7.0,4.5,0.0,30.0,45.0,41.0,1.0,40.0,0.0
McDonald's McCafe Iced Coffee Hazelnut w/ Light Cream Medium,Beverages,160.0,5.0,3.5,0.0,20.0,35.0,27.0,1.0,26.0,0.0
McDonald's Iced Tea Large,Beverages,5.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0
McDonald's Iced Tea Medium,Beverages,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0
McDonald's Sweet Tea Extra Small,Beverages,60.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,15.0,0.0
McDonald's Powerade Mountain Berry Blast Extra Small,Beverages,70.0,0.0,0.0,0.0,0.0,80.0,18.0,0.0,18.0,0.0
McDonald's Powerade Mountain Berry Blast Large,Beverages,170.0,0.0,0.0,0.0,0.0,190.0,45.0,0.0,45.0,0.0
McDonald's Powerade Mountain Berry Blast Medium,Beverages,130.0,0.0,0.0,0.0,0.0,140.0,33.0,0.0,33.0,0.0
McDonald's Sprite Extra Small,Beverages,120.0,0.0,0.0,0.0,0.0,40.0,32.0,0.0,32.0,0.0
McDonald's Sprite Large,Beverages,290.0,0.0,0.0,0.0,0.0,100.0,78.0,0.0,78.0,0.0
McDonald's Sprite Medium,Beverages,210.0,0.0,0.0,0.0,0.0,70.0,57.0,0.0,57.0,0.0
McDonald's Sweet Tea Large,Beverages,160.0,0.0,0.0,0.0,0.0,25.0,38.0,1.0,38.0,0.0
McDonald's Sweet Tea Small,Beverages,90.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,21.0,0.0
McDonald's McCafe Latte w/ Whole Milk Medium,Beverages,210.0,10.0,6.0,0.0,30.0,135.0,18.0,11.0,15.0,1.0
McDonald's McCafe Latte w/ Whole Milk Large,Beverages,280.0,14.0,8.0,0.0,40.0,180.0,24.0,15.0,20.0,1.0
McDonald's McCafe Latte Sugar Free French Vanilla w/ Nonfat Milk Small,Beverages,120.0,0.0,0.0,0.0,5.0,150.0,22.0,9.0,13.0,0.0
McDonald's McCafe Latte Sugar Free French Vanilla w/ Nonfat Milk Medium,Beverages,150.0,0.0,0.0,0.0,5.0,180.0,27.0,11.0,16.0,0.0
McDonald's McCafe Latte Sugar Free French Vanilla w/ Nonfat Milk Large,Beverages,200.0,0.0,0.0,0.0,10.0,230.0,34.0,14.0,21.0,0.0
McDonald's Iced Mocha w/ Whole Milk Whipped Topping & Chocolate Drizzle Medium,Beverages,340.0,12.0,7.0,0.0,40.0,150.0,49.0,9.0,43.0,1.0
McDonald's McCafe Iced Caramel Mocha w/ Whole Milk Whipped Topping & Caramel Drizzle Small,Beverages,270.0,11.0,6.0,0.0,35.0,140.0,37.0,7.0,31.0,0.0
